潔,Meaning
壌,soil
亜,sub-
矢,arrow
嬢,unmarried woman
洞,hollow
柄,pattern
柳,willow (any tree of genus Salix)
哀,pity
陥,pitfall
旨,principle
錠,lock
胴,trunk
陛,Your Majesty
譲,to hand over
勘,perception
醸,brewing
塀,wall
竜,dragon (esp. a Chinese dragon)
患,patient
至,to ...
幣,staff with plaited paper streamers
貫,"crosspiece (between pillars, etc.)"
汰,to shake
弊,bad habit
隆,Takashi
握,handshake
硫,sulfur (S)
喚,to call out (to)
妥,compromise
扱,to deal with (a person)
堪,intolerable
殖,to increase
倹,economizing
飾,to decorate
堕,to fall
瞳,pupil (of the eye)
虜,captive
嵐,storm
敢,"purposely (of something needless, unexpected or seemingly counterproductive, etc.)"
兼,cum (e.g. bedroom-cum-study)
惰,force of habit
峠,(mountain) pass
慮,to consider carefully
棺,coffin
剣,"sword (esp. a large, double-edged one)"
嘱,having great hopes for (someone's future)
駄,poor
匿,shelter
癖,habit (usu. a bad one)
款,title
拳,fist
織,weave
祉,prosperity
閑,spare time
肢,foot
辱,shame
督,urge
勧,to recommend (someone to do)
姿,figure
耐,-proof
徳,virtue
寛,relaxed
圏,sphere
篤,thick
猟,hunting
幹,(tree) trunk
堅,strength
怠,tedious
陵,imperial mausoleum
検,"inspection (e.g. customs, factory)"
施,institution
胎,womb
独,Germany
偏,left-hand radical of a character
嫌,disliking
遍,number of times
僚,consort ship
献,menu
威,power
絹,silk
泰,Thailand
凸,convex
弁,speech
寮,hostel
為,good
遣,"to use (a tool, method, etc.)"
歓,joy
視,viewing as ...
侵,invasion
瞭,obvious
監,special Nara-period administrative division for areas containing a detached palace (Yoshino and Izumi)
憲,constitution
紫,purple
逮,arrest
屯,"ton (esp. a metric ton, i.e. 1000 kg)"
糧,food
尉,inspector (third highest of the four administrative ranks of the ritsuryō system)
緩,loose
津,Tsu (city in Mie)
豚,pig (Sus scrofa domesticus)
憾,resentment
謙,modest
還,to return
嗣,succession
唇,lip
隊,party
繭,cocoon
娠,Meaning not found
滞,stay
厘,one-hundredth
顕,exposure
詩,poem
振,swing
態,appearance
舗,shop
倫,ethics
浸,to soak (in)
懸,credit
飼,to keep (a pet or other animal)
那,Naraka
隣,next (to)
奈,Chinese quince (Pseudocydonia sinensis)
墓,grave
臨,temporary
艦,warship
幻,phantom
雌,"female (animal, plant)"
慕,to yearn for
瑠,lapis lazuli
維,this
鑑,model
玄,entrance
紳,gentleman
第,prefix for forming ordinal numbers
梨,nashi (esp. Pyrus pyrifolia)
慰,to comfort
賜,gift
簿,journalization (accounts)
累,trouble
遺,to remain
弦,bowstring
諮,to consult with
滝,waterfall
塁,fort
緯,weft
診,medical examination
択,"counter for choices, options, etc."
芳,"aromatic (roasted beans, roasted tea, etc.)"
慎,careful
沢,mountain stream
邦,country
眼,eye
卓,table
奉,service
壱,one
頑,obstinate
審,judgement
拓,to open (e.g. path)
尼,Buddhist nun
励,to encourage
逸,very
源,source (of a river)
託,to entrust (someone) with
弐,two
厳,strict
薪,piece(s) of firewood (esp. chopped or split from logs)
芋,tuber
企,enterprise
己,I
諾,agreement
鈴,bell (often globular)
伎,technique
濁,to become muddy
虹,rainbow
泡,bubble
侍,warrior (esp. of military retainers of daimyos in the Edo period)
刃,edge (of a knife or sword)
但,ordinary
胞,spore
霊,soul
仁,benevolence (esp. as a virtue of Confucianism)
俸,salary
隷,"clerical script (ancient, highly angular style of kanji)"
尽,last day (of the month)
脱,"de- (indicating reversal, removal, etc.)"
倣,to imitate
姻,in-law
岐,the public
迅,quick
奪,to take (by force)
尿,urine
峰,peak
麗,Uruha (musician)
虎,tiger (Panthera tigris)
滋,to grow thickly
甚,painful
棚,shelf
砲,gun
暦,calendar
忌,mourning
孤,orphan
慈,mercy
陣,battle formation
妊,pregnancy
崩,to collapse
汽,train (esp. long distance train)
弧,arc
尋,fathom
丹,red earth (i.e. containing cinnabar or minium)
忍,endurance
陰,shade
奇,strange
磁,magnet
旦,"master (of a house, shop, etc.)"
劣,sub-
須,for a moment
寧,rather
烈,violent
隠,to hide
裂,to tear
韻,rhyme
紀,period
鹿,"deer (esp. the sika deer, Cervus nippon)"
飽,to get tired of
軌,rut
胆,gallbladder
褒,to praise
既,already
垂,sauce (esp. soy or mirin-based dipping sauce)
縫,to sew
廉,grounds
誇,pride
軸,axis
炊,"to cook (grains, e.g. rice)"
淡,fresh water (i.e. not salt water)
粘,stickiness
鼓,hand drum
帥,director of the Dazaifu
乏,meagre
錬,to knead
唄,song
飢,famine
粋,chic
嘆,sigh
呂,bass range (in Japanese music)
鬼,ogre
顧,to look back on (the past)
衰,to become weak
端,end (e.g. of street)
納,consent
炉,hearth
畝,ridge (in field)
推,recommendation
妨,to disturb
浦,inlet
疾,to run
酔,to get drunk
誕,birthday
執,attachment
遂,end
鍛,to forge
露,dew
呉,"Wu (region in China, south of the lower Yangtze)"
睡,sleep
房,"tuft (of hair, threads, etc.)"
亀,tortoise
穂,ear (of a cereal plant)
把,bundle
肪,Meaning not found
娯,enjoyable
漆,seven
随,essays
某,certain
幾,some
悟,to perceive
髄,medulla
派,clique
冒,adventure
郎,nth son
揮,volatilization
碁,go (board game)
枢,pivot hinge (using extensions on the top and bottom of a door that fit into cavities in the frame)
弾,ball
剖,autopsy
朗,cheerful
芝,lawn
崇,worship
暖,warming
覇,supremacy (over a nation)
紡,spinning (textiles)
浪,wave
棋,go (board game)
廊,corridor
詠,recitation (of a poem)
貴,your
護,to protect
据,to sit
壇,platform
婆,old woman
傍,near
楼,tower
影,shadow
棄,abstention (from voting)
杉,Japanese cedar (Cryptomeria japonica)
漏,to let leak
舎,hut
衛,(natural) satellite
旗,flag
寸,sun (approx. 3 cm)
器,bowl
射,archery
瀬,shallows
疫,epidemic
孔,hole
是,this
肺,lung
益,benefit
輝,to shine
功,merit
赦,pardon
井,well
致,to do
俳,actor
膨,to expand
巧,skilfulness
斜,slanting
謀,plan
騎,counter for horsemen
煮,simmered with
痴,foolish thing
排,anti-
悦,self-satisfaction
甲,armor
遮,to interrupt
稚,youth
賄,bribe
宜,truly
謝,to apologize
廃,abolition
謁,"audience (with a superior, e.g. nobility)"
偽,imitation
邪,wicked
輩,comrade
朴,Japanese hackberry (Celtis sinensis var. japonica)
惑,klesha
閲,inspection (esp. of a document)
欺,to trick
蛇,snake
牧,pasture
枠,frame
義,morality
后,after
尺,shaku (unit of distance approximately equal to 30.3 cm)
睦,to be harmonious
逐,to chase
梅,Japanese apricot (Prunus mume)
僕,I
沿,coast
儀,ceremony
江,inlet
酌,pouring alcohol
征,ladder
蓄,to store
培,to cultivate
墨,sumi
炎,flame
戯,pleasantry
釈,release
陪,jury
撲,to hit
擬,pseudo-
爵,"jue (ancient 3-legged Chinese wine pitcher, usu. made of bronze)"
秩,order
媒,matchmaker
没,death
宴,party
犠,sacrifice
坑,pit (esp. of a mine)
斉,Qi (kingdom in China during the Spring and Autumn Period and the Period of the Warring States)
窒,suffocation
媛,young lady of noble birth
孝,filial piety
賠,compensation
堀,moat
援,to save
菊,chrysanthemum (Chrysanthemum morifolium)
抗,anti-
寂,patina
吉,good fortune (esp. omikuji fortune-telling result)
攻,attack
牲,"offering (to the gods, emperor, etc.)"
嫡,legitimate birth
伯,count
奔,to run
拍,beat
翻,han
猿,"monkey (esp. the Japanese macaque, Macaca fuscata)"
凡,about
却,very
朱,red
逝,to go
迫,stage elevator
盆,tray
鉛,lead (Pb)
拘,to be affected
沖,open sea
麻,cannabis (Cannabis sativa)
脚,foot
狩,hunting
盛,serving (of food)
宙,space
舶,large ship
摩,friction
侯,marquis
婿,husband
忠,loyalty
博,doctor
縁,rim
虐,to ill-treat
殊,difference (from one another)
抽,drawer
魔,demon
艶,gloss
恒,usual state of things
珠,ball
洪,Hungary
聖,Saint
漠,vague
及,and
皇,divine
誠,truth
縛,tying up
凹,concave
弓,bow (weapon)
衷,innermost feelings
丘,hill
趣,meaning
製,make
誓,to swear
鋳,casting
幕,curtain
往,to go
膜,membrane
請,request
旺,prosperous
朽,to rot
又,again
需,demand
丁,counter for leaves in a book (esp. one with traditional Japanese-style binding)
鉢,bowl
殴,to strike
儒,Confucianism
弔,message of condolence
抹,erasure
桜,cherry tree
貢,tribute
樹,tree
翁,old man
泣,to cry
斥,to step back
伐,to quarry
囚,imprisonment
慢,chronic (illness)
級,(school) grade
罰,punishment
漫,cartoon
岡,hill
糾,to ascertain
控,to be temperate in
挑,challenge
閥,clique
宮,shrine
秀,preeminence
析,wooden clappers (signalling the beginning or end of a performance)
帳,curtain
救,relief
魅,charm
憶,to memorize
宗,principle
彫,carving
岬,cape (on coast)
隻,counter for ships
眺,to look at
密,dense
虞,fear
惜,alas
釣,fishing
帆,sail
乙,"(the) second (party, rank, etc.)"
窮,ultimate
臭,-smell
脈,pulse
絞,death by hanging (punishment in the ritsuryō system)
伴,companion
妙,strange
卸,wholesale
項,clause
跡,trace
溝,ditch
恩,favour
矛,long-handled Chinese spear
拒,to defend against
籍,one's family register
腸,guts
穏,calm
拠,grounds
綱,rope
跳,to fly
挙,action
酵,enzyme
就,finding employment
徴,sign
班,group
虚,sky
稿,manuscript
衆,great numbers (of people)
拙,poor
畔,(in the) neighbourhood
霧,fog
興,interest
窃,secret
潮,tide
距,tubular nectary
衡,yoke
愁,grief
澄,"to become clear (water, air, etc.)"
鋼,steel
酬,to be repaid
醜,ugly
聴,to hear
購,purchase
摂,intake (e.g. of salt)
懲,to learn by experience
搬,transportation
凶,bad luck
襲,pile
煩,trouble
佳,beautiful
勅,imperial decree
頒,to divide (into)
盟,alliance
汁,juice
舌,tongue
範,example
