市,"city, market, town"
流,"a sink, current, flow, forfeit"
件,"affair, case, item, matter"
閉,"closed, shut"
留,"detain, fasten, halt, stop"
愛,"affection, favourite, love"
他,"another, other, the others"
寒,cold
打,"dozen, hit, knock, pound, strike"
働,"(kokuji), work"
県,prefecture
米,"USA, metre, rice"
太,"big around, plump, thick"
両,"both, counter for carriages (e.g., in a train), old Japanese coin, two"
暗,"be blinded, darkness, disappear, grow dark, informal, shade"
職,"employment, post, work"
対,"anti-, compare, equal, even, opposite, versus, vis-a-vis"
得,"able to, acquire, advantage, benefit, can, earn, find, gain, get, may, profit"
良,"good, pleasing, skilled"
険,"impregnable position, inaccessible place, precipitous, sharp eyes, steep place"
位,"about, crown, grade, rank, some, throne"
返,"answer, fade, repay, return"
指,"finger, indicate, measure (ruler), play (chess), point to, put into"
申,"3-5PM, have the honor to, ninth sign of Chinese zodiac, sign of the monkey"
変,"change, strange, unusual"
感,"emotion, feeling, sensation"
師,"army (incl. counter), exemplar, expert, master, model, teacher, war"
退,"expel, reject, repel, resign, retire, retreat, withdraw"
慣,"accustomed, become experienced, get used to"
身,"one's station in life, person, somebody"
関,"barrier, concerning, connection, gateway, involve"
突,"collision, pierce, prick, protruding, stab, sudden, thrust"
便,"chance, convenience, excrement, facility, feces, letter"
権,"authority, power, rights"
信,"faith, fidelity, trust, truth"
歯,"cog, tooth"
神,"gods, mind, soul"
捕,"capture, catch"
林,"forest, grove"
偉,"admirable, conceited, excellent, famous, greatness, remarkable"
資,"assets, be conducive to, capital, contribute to, data, funds, resources"
観,"appearance, condition, look, outlook, view"
違,"differ, difference"
深,"deep, heighten, intensify, strengthen"
内,"among, between, home, house, inside, within"
暮,"evening, livelihood, make a living, season's end, spend time, twilight"
進,"advance, proceed, progress, promote"
森,"forest, woods"
限,"limit, restrict, to best of ability"
示,"display, express, indicate, point out, show"
宅,"home, house, my husband, our house, residence"
類,"class, genus, kind, sort, variety"
原,"field, meadow, original, plain, prairie, primitive, tundra, wilderness"
寝,"bed, lie down, remain unsold, rest, sleep"
育,"bring up, grow up, raise, rear"
現,"actual, existing, present"
難,"accident, defect, difficult, impossible, trouble"
礼,"bow, ceremony, remuneration, salute, thanks"
次,"next, order, sequence"
冷,"chill, cold (beer, person), cool"
顔,"expression, face"
抱,"embrace, hold in arms, hug"
戻,"go backwards, re-, restore, resume, return, revert"
願,"hope, petition, request, vow, wish"
似,"becoming, counterfeit, imitate, resemble, suitable"
放,"banish, emit, fire, liberate, release, set free, shoot"
例,"custom, example, precedent, usage"
法,"law, method, model, principle, rule, system"
引,"admit, install, jerk, pull, quote, refer to, tug"
危,"dangerous, fear, uneasy"
因,"be associated with, be limited to, cause, depend on, factor"
呼,"call, call out to, invite"
